DATE,OPEN,HIGH,LOW,CLOSE,NO.OFSHARES,NO.OFTRADES
15-06-2021,356.00,360.65,351.20,352.65,2697386,32593
14-06-2021,350.00,357.80,341.05,356.00,3012354,42267
11-06-2021,346.45,352.90,344.75,350.75,1605772,21014
10-06-2021,345.65,347.85,342.50,344.60,1154435,13105
09-06-2021,356.50,358.80,339.60,343.25,4480912,59698
08-06-2021,346.75,356.50,337.35,352.85,3488224,48363
07-06-2021,338.55,351.00,338.55,345.50,5575585,77740
04-06-2021,325.45,336.90,324.50,334.95,1897098,17556
03-06-2021,324.15,327.50,323.65,325.45,2157151,27066
02-06-2021,316.20,324.25,315.50,323.00,2196974,27530
01-06-2021,319.65,325.70,317.40,318.10,1479190,15161
31-05-2021,319.40,319.50,312.10,318.70,2185714,29241
28-05-2021,322.85,324.40,316.55,318.95,1491332,13260
27-05-2021,316.90,323.35,316.90,318.60,2040885,19745
26-05-2021,316.80,319.90,315.00,315.50,2232152,24855
25-05-2021,315.00,318.95,313.85,315.30,1704904,15362
24-05-2021,313.85,315.95,310.15,311.80,1447771,14694
21-05-2021,312.00,315.50,309.50,313.10,2897263,32279
20-05-2021,314.90,316.50,306.10,307.75,3943060,51775
19-05-2021,315.00,322.95,312.15,314.50,5237832,54704
18-05-2021,326.00,336.55,324.10,332.35,4587490,37495
17-05-2021,315.95,323.80,311.50,321.10,3453593,38778
14-05-2021,331.00,331.00,310.20,312.35,3940100,30648
12-05-2021,317.10,334.70,316.95,325.85,8847706,94231
11-05-2021,309.95,320.70,308.25,315.65,2649170,21723
10-05-2021,304.50,315.50,304.00,314.80,4830939,55887
07-05-2021,303.20,305.85,300.45,302.80,1639643,15543
06-05-2021,290.55,301.95,290.00,301.15,2064712,19050
05-05-2021,293.90,293.90,288.60,291.50,1498517,12763
04-05-2021,296.60,299.65,288.10,289.35,2831512,35077
03-05-2021,285.65,294.70,285.15,293.00,2809702,37789
30-04-2021,299.00,301.30,292.85,293.95,1677637,17234
29-04-2021,308.00,310.20,301.35,301.85,1683634,14647
28-04-2021,302.55,309.60,302.55,305.90,1987473,17786
27-04-2021,295.35,302.45,295.35,301.45,1230925,12006
26-04-2021,296.40,299.00,294.50,295.40,1384321,11516
23-04-2021,292.00,299.95,290.75,294.00,2596469,21782
22-04-2021,294.90,302.50,292.25,294.55,3011818,22448
20-04-2021,307.80,308.10,294.20,297.95,2572432,20980
19-04-2021,292.00,304.55,292.00,300.95,3297146,23881
16-04-2021,302.40,315.00,300.30,309.90,3540808,29471
15-04-2021,303.20,307.50,296.55,303.50,3675061,27999
13-04-2021,287.70,304.50,280.55,302.70,7813158,73182
12-04-2021,308.10,308.10,284.00,286.60,5773388,51533
09-04-2021,314.00,325.00,312.60,318.15,3582021,26000
08-04-2021,308.55,319.70,307.85,313.85,6162512,47031
07-04-2021,307.25,310.75,305.00,307.80,2602498,15413
06-04-2021,305.60,313.90,304.75,307.65,5334339,42473
05-04-2021,307.90,311.65,297.20,305.05,4112463,24726
01-04-2021,306.50,309.80,303.05,307.60,3723767,33798
31-03-2021,298.65,307.50,297.55,301.85,3236502,20984
30-03-2021,300.00,301.40,292.70,296.95,2471291,18345
26-03-2021,292.00,301.50,290.40,296.30,3688101,26264
25-03-2021,294.30,294.30,282.35,285.50,4386750,35711
24-03-2021,304.00,305.05,293.30,294.45,3362176,25540
23-03-2021,305.00,312.10,304.10,307.30,3010510,20834
22-03-2021,308.90,308.90,300.10,303.05,2657465,20678
19-03-2021,303.30,311.00,290.35,308.95,5202269,35810
18-03-2021,310.60,316.50,299.75,306.90,5997189,58868
17-03-2021,317.00,320.00,304.00,305.85,2202123,18503
16-03-2021,320.30,321.80,315.30,319.75,1860583,13729
15-03-2021,320.40,320.65,310.10,318.45,2305974,18306
12-03-2021,325.90,326.35,314.30,317.45,2103674,19405
10-03-2021,320.00,324.40,316.75,321.35,3898952,40218
09-03-2021,325.30,328.25,309.70,315.20,6082763,71944
08-03-2021,331.50,331.55,318.85,321.25,4669627,49112
05-03-2021,334.50,337.80,319.80,325.10,7493136,73909
04-03-2021,340.80,345.30,337.25,339.20,5215719,48534
03-03-2021,348.70,357.00,346.60,348.50,4442426,39709
02-03-2021,330.70,347.10,326.65,345.70,6450114,52396
01-03-2021,329.90,331.85,322.55,328.10,5221906,49080
26-02-2021,324.00,333.00,318.80,323.00,4893904,37422
25-02-2021,325.40,334.50,323.30,333.10,7349275,60574
24-02-2021,326.30,330.00,305.10,322.25,15105742,108105
23-02-2021,308.00,328.80,308.00,324.10,6654359,41969
22-02-2021,311.55,314.00,302.15,304.15,5997129,53671
19-02-2021,322.50,322.50,301.50,312.00,4202696,34819
18-02-2021,331.50,331.90,317.65,323.30,2511859,17467
17-02-2021,327.00,334.25,325.55,330.10,2708521,18397
16-02-2021,335.80,337.90,327.60,329.05,3878347,22054
15-02-2021,330.40,335.60,324.05,333.30,3847809,26324
12-02-2021,326.55,330.40,321.35,325.25,3578496,21977
11-02-2021,326.05,331.35,323.00,324.90,4273371,35975
10-02-2021,325.55,332.50,319.50,328.95,7313560,62129
09-02-2021,337.00,338.55,322.15,325.10,5406350,42812
08-02-2021,318.95,339.25,316.80,335.85,5875468,43051
05-02-2021,328.90,329.90,312.85,315.90,5787491,45011
04-02-2021,330.70,334.40,322.50,326.10,6925075,52907
03-02-2021,339.40,341.85,326.25,330.95,16250000,135607
02-02-2021,292.75,332.40,290.00,322.30,22854765,164374
01-02-2021,270.40,281.95,255.55,279.75,9091062,67690
29-01-2021,273.40,278.85,260.60,262.60,10077046,68317
28-01-2021,259.80,273.45,259.00,266.85,7406729,41437
27-01-2021,278.00,278.00,265.75,267.40,6060640,43764
25-01-2021,299.90,299.90,277.40,279.05,12225688,108260
22-01-2021,296.00,306.90,278.30,289.40,14867458,104926
21-01-2021,282.00,299.00,280.10,290.45,17635185,142412
20-01-2021,260.00,277.60,259.00,274.90,13752988,100324
19-01-2021,251.70,261.70,251.40,258.85,6386190,41527
18-01-2021,262.40,262.40,241.15,245.65,11550376,99635
15-01-2021,246.35,264.60,242.50,260.40,17370425,108461
14-01-2021,243.00,249.80,238.60,245.15,4130572,24819
13-01-2021,243.30,248.80,238.55,242.50,11660473,78554
12-01-2021,228.80,249.50,224.05,237.80,20541348,113913
11-01-2021,199.80,225.00,199.55,220.10,7959649,45039
08-01-2021,199.15,201.45,197.25,198.10,3221977,11829
07-01-2021,197.00,200.35,195.45,196.70,4978434,16509
06-01-2021,194.05,197.45,190.70,195.35,5666225,33962
05-01-2021,187.00,193.95,185.05,193.25,3650476,17873
04-01-2021,192.00,193.00,188.80,191.20,2832471,15982
01-01-2021,185.25,187.00,184.55,186.45,1158750,6350
31-12-2020,185.00,187.50,182.85,183.70,2122018,10651
30-12-2020,183.30,185.30,180.45,184.00,1478809,8553
29-12-2020,188.00,188.60,181.05,183.40,3312073,15460
28-12-2020,180.00,187.45,179.00,186.30,4106762,20858
24-12-2020,171.50,177.90,171.50,175.90,5228776,30286
23-12-2020,165.70,169.70,163.35,169.20,6186133,27012
22-12-2020,164.00,169.10,156.55,165.05,8247143,65739
21-12-2020,176.50,177.50,162.45,164.55,3742380,22138
18-12-2020,181.10,181.45,176.70,180.50,1595408,6798
17-12-2020,183.60,184.15,180.65,181.65,1878837,6236
16-12-2020,181.00,183.80,180.30,182.50,3455087,10666
15-12-2020,176.80,179.50,173.30,178.80,1890994,8925
14-12-2020,181.00,181.00,176.80,177.60,3755794,8128
11-12-2020,178.10,181.45,176.60,178.80,3009313,18987
10-12-2020,182.70,182.75,176.45,177.60,3178214,24365
09-12-2020,182.65,186.40,181.80,182.70,2954649,9319
08-12-2020,185.35,185.70,178.95,181.75,2359362,10350
07-12-2020,184.70,186.45,182.80,183.55,3447221,16976
04-12-2020,186.70,188.75,182.25,184.15,3479711,13411
03-12-2020,185.00,186.00,183.30,184.80,2377418,8853
02-12-2020,184.10,187.30,181.15,183.55,5202699,19792
01-12-2020,183.25,183.25,178.10,179.70,2381640,12516
27-11-2020,174.45,183.75,174.45,180.25,7612050,48069
26-11-2020,171.70,174.90,171.05,173.75,1363494,8526
25-11-2020,175.00,176.85,169.25,171.40,2574062,14734
24-11-2020,172.30,175.55,171.20,172.00,2891967,12555
23-11-2020,169.70,173.90,165.60,170.60,2467428,13318
20-11-2020,170.00,171.55,165.55,169.00,3049951,14614
19-11-2020,171.80,176.35,166.60,167.75,7800401,49440
18-11-2020,158.60,174.95,158.60,173.55,10988480,69219
17-11-2020,151.70,159.10,151.70,158.00,7207341,82609
14-11-2020,149.00,150.75,147.90,148.90,711169,10769
13-11-2020,150.00,150.00,145.50,146.35,1759776,11362
12-11-2020,150.00,153.80,150.00,151.15,3728837,23977
11-11-2020,146.00,151.40,145.75,150.95,7167086,43542
10-11-2020,143.25,146.55,142.70,146.00,6295710,39323
09-11-2020,140.35,141.50,138.75,141.00,1864786,12169
06-11-2020,137.90,142.25,137.75,138.90,4560932,28010
05-11-2020,136.95,138.00,136.00,137.65,1869117,10507
04-11-2020,134.65,137.00,134.00,135.85,4467240,21827
03-11-2020,134.85,137.35,133.65,134.10,4349169,23439
02-11-2020,133.70,134.00,131.10,132.85,3930814,17625
30-10-2020,132.90,134.50,130.30,132.70,3535203,18730
29-10-2020,132.40,133.00,130.00,131.90,3900882,25915
28-10-2020,138.20,143.15,133.50,134.80,10895926,67948
27-10-2020,134.00,136.80,131.00,135.70,2354638,12645
26-10-2020,139.40,140.75,131.20,133.65,6481648,37408
23-10-2020,134.85,138.90,134.15,137.00,3019050,20661
22-10-2020,129.05,134.50,128.45,133.45,3949368,28199
21-10-2020,131.25,133.00,128.25,130.25,3493665,22814
20-10-2020,128.00,130.25,126.40,129.65,2072303,16666
19-10-2020,130.70,130.70,127.85,128.25,1667032,13096
16-10-2020,129.80,130.00,126.00,127.70,3339831,22617
15-10-2020,131.90,134.35,126.50,127.00,3983711,31161
14-10-2020,134.00,134.60,128.80,130.70,1752029,16735
13-10-2020,135.55,137.10,132.85,134.10,1370296,8318
12-10-2020,139.55,139.85,133.05,135.85,2787824,22863
09-10-2020,141.40,142.65,138.00,138.45,1423879,8720
08-10-2020,142.80,143.35,139.65,140.90,2491175,18636
07-10-2020,144.10,144.50,139.80,141.00,4032654,25576
06-10-2020,137.80,145.70,135.90,144.85,10190922,67155
05-10-2020,137.00,137.50,132.05,133.90,2800303,18755
01-10-2020,135.70,136.50,132.60,133.50,1674311,8140
30-09-2020,133.00,134.40,130.50,133.30,1485659,8454
29-09-2020,135.20,136.10,130.75,131.70,3460244,14571
28-09-2020,129.25,134.30,127.40,132.85,4486014,23797
25-09-2020,125.00,128.35,123.10,127.35,3392464,16069
24-09-2020,127.80,128.80,122.15,122.80,2622477,14285
23-09-2020,135.95,136.80,128.00,131.35,3255741,17134
22-09-2020,138.00,138.25,129.70,133.10,3852935,20494
21-09-2020,148.00,148.00,135.50,137.40,3307721,17680
18-09-2020,149.90,150.55,146.25,147.90,1838584,9844
17-09-2020,150.90,150.90,146.20,147.60,2972214,22167
16-09-2020,149.05,154.25,148.60,151.60,3611848,20476
